# https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population,
2019 rank;Name;State;2019 estimate;Land area,
1;New York;?ew York;8 336 817;780,9
2;Los Angeles;?alifornia;3 979 576;1 213,90
3;Chicago;?llinois;2 693 976;588,7
4;Houston;?exas;2 320 268;1 651,10
5;Phoenix;?rizona;1 680 992;1 340,60
6;Philadelphia;?ennsylvania;1 584 064;347,6
7;San Antonio;?exas;1 547 253;1 194,0
8;San Diego;?alifornia;1 423 851;842,3
9;Dallas;?exas;1 343 573;882,9
10;San Jose;?alifornia;1 021 795;459,7
11;Austin;?exas;978 908;809,9
12;Jacksonville;?lorida;911 507;1 935,80
13;Fort Worth;?exas;909 585;888,1
14;Columbus;?hio;898 553;565,9
15;Charlotte;?orth Carolina;885 708;791,
16;San Francisco;?alifornia;881 549;121,5
17;Indianapolis;?ndiana;876 384;936,3
18;Seattle;?ashington;753 675;217,
19;Denver;?olorado;727 211;397,
20;Washington;?istrict of Columbia;705 749;158,2
21;Boston;?assachusetts;6 926;125,1
22;El Paso;?exas;681 728;665,1
23;Nashville;?ennessee;67 082;1 232,60
24;Detroit;?ichigan;670 031;359,5
25;Oklahoma City;?klahoma;655 057;1 570,30
26;Portland;?regon;654 741;345,8
27;Las Vegas;?evada;651 319;348,1
28;Memphis;?ennessee;651 073;822,1
29;Louisville;?entucky;617 638;682,5
30;Baltimore;?aryland;59 349;209,5
31;Milwaukee;?isconsin;590 157;249,2
32;Albuquerque;?ew Mexico;560 513;487,4
33;Tucson;?rizona;548 073;597,8
34;Fresno;?alifornia;531 576;296,3
35;Mesa;?rizona;518 012;357,2
36;Sacramento;?alifornia;513 624;253,6
37;Atlanta;?eorgia;506 811;345,8
38;Kansas City;?issouri;495 327;815,8
39;Colorado Springs;?olorado;478 221;506,6
40;Omaha;?ebraska;478 192;345,
41;Raleigh;?orth Carolina;474 069;375,8
42;Miami;?lorida;467 963;93,2
43;Long Beach;?alifornia;462 628;130,3
44;Virginia Beach;?irginia;449 974;633,8
45;Oakland;?alifornia;433 031;144,8
46;Minneapolis;?innesota;429 606;139,9
47;Tulsa;?klahoma;40 119;509,7
48;Tampa;?lorida;3 997;293,7
49;Arlington;?exas;398 854;248,1
50;New Orleans;?ouisiana;390 144;438,7
51;Wichita;?ansas;389 938;415,4
52;Bakersfield;?alifornia;384 145;385,4
53;Cleveland;?hio;381 009;201,2
54;Aurora;?olorado;379 289;397,6
55;Anaheim;?alifornia;350 365;129,5
56;Honolulu;?awaii;345 064;156,7
57;Santa Ana;?alifornia;332 318;70,2
58;Riverside;?alifornia;33 136;210,3
59;Corpus Christi;?exas;326 586;452,2
60;Lexington;?entucky;323 152;734,5
61;Henderson;?evada;320 189;271,2
62;Stockton;?alifornia;312 697;159,8
63;Saint Paul;?innesota;308 096;134,7
64;Cincinnati;?hio;30 394;200,5
65;St. Louis;?issouri;300 576;160,6
66;Pittsburgh;?ennsylvania;300 286;143,5
67;Greensboro;?orth Carolina;29 671;332,3
68;Lincoln;?ebraska;289 102;238,5
69;Anchorage;?laska;288;4 420,10
70;Plano;?exas;287 677;185,7
71;Orlando;?lorida;287 442;272,5
72;Irvine;?alifornia;287 401;169,9
73;Newark;?ew Jersey;282 011;62,4
74;Durham;?orth Carolina;278 993;284,4
75;Chula Vista;?alifornia;274 492;128,5
76;Toledo;?hio;272 779;209,
77;Fort Wayne;?ndiana;270 402;286,5
78;St. Petersburg;?lorida;265 351;160,1
79;Laredo;?exas;262 491;261,8
80;Jersey City;?ew Jersey;262 075;38,3
81;Chandler;?rizona;261 165;168,1
82;Madison;?isconsin;25 968;199,4
83;Lubbock;?exas;258 862;322,7
84;Scottsdale;?rizona;258 069;476,3
85;Reno;?evada;255 601;277,9
86;Buffalo;?ew York;255 284;104,6
87;Gilbert;?rizona;254 114;176,1
88;Glendale;?rizona;252 381;153,1
89;North Las Vegas;?evada;251 974;253,8
90;Winston?alem;?orth Carolina;247 945;343,2
91;Chesapeake;?irginia;244 835;876,7
92;Norfolk;?irginia;242 742;138,
93;Fremont;?alifornia;24 111;200,7
94;Garland;?exas;239 928;147,6
95;Irving;?exas;239 798;173,5
96;Hialeah;?lorida;233 339;55,7
97;Richmond;?irginia;230 436;154,9
98;Boise;?daho;228 959;212,6
99;Spokane;?ashington;222 081;177,9
100;Baton Rouge;?ouisiana;220 236;222,5
101;Tacoma;?ashington;217 827;128,7
102;San Bernardino;?alifornia;215 784;159,3
103;Modesto;?alifornia;215 196;111,4
104;Fontana;?alifornia;214 547;111,4
105;Des Moines;?owa;214 237;230,2
106;Moreno Valley;?alifornia;213 055;132,9
107;Santa Clarita;?alifornia;212 979;136,8
108;Fayetteville;?orth Carolina;211 657;382,5
109;Birmingham;?labama;209 403;378,4
110;Oxnard;?alifornia;208 881;69,7
111;Rochester;?ew York;205 695;92,7
112;Port St. Lucie;?lorida;201 846;307,9
113;Grand Rapids;?ichigan;201 013;115,
114;Huntsville;?labama;200 574;552,7
115;Salt Lake City;Utah;200 567;288,
116;Frisco;?exas;20 049;175,3
117;Yonkers;?ew York;20 037;46,6
118;Amarillo;?exas;199 371;262,6
119;Glendale;?alifornia;199 303;78,7
120;Huntington Beach;?alifornia;199 223;69,7
121;McKinney;?exas;199 177;163,2
122;Montgomery;?labama;198 525;413,9
123;Augusta;?eorgia;197 888;783,5
124;Aurora;?llinois;197 757;116,3
125;Akron;?hio;197 597;160,6
126;Little Rock;?rkansas;197 312;307,4
127;Tempe;?rizona;195 805;103,6
128;Columbus;?eorgia;195 769;560,5
129;Overland Park;?ansas;195 494;194,5
130;Grand Prairie;?exas;194 543;187,3
131;Tallahassee;?lorida;1 945;260,
132;Cape Coral;?lorida;194 495;273,5
133;Mobile;?labama;18 872;361,
134;Knoxville;?ennessee;187 603;255,1
135;Shreveport;?ouisiana;187 112;277,4
136;Worcester;?assachusetts;185 428;96,9
137;Ontario;?alifornia;18 501;129,2
138;Vancouver;?ashington;184 463;121,5
139;Sioux Falls;?outh Dakota;183 793;195,3
140;Chattanooga;?ennessee;182 799;370,6
141;Brownsville;?exas;182 781;343,2
142;Fort Lauderdale;?lorida;182 437;89,6
143;Providence;?hode Island;179 883;47,7
144;Newport News;?irginia;179 225;179,
145;Rancho Cucamonga;?alifornia;177 603;103,6
146;Santa Rosa;?alifornia;176 753;107,
147;Peoria;?rizona;175 961;455,1
148;Oceanside;?alifornia;175 742;107,
149;Elk Grove;?alifornia;174 775;109,3
150;Salem;?regon;174 365;125,9
151;Pembroke Pines;?lorida;173 591;85,5
152;Eugene;?regon;172 622;114,2
153;Garden Grove;?alifornia;171 644;46,6
154;Cary;?orth Carolina;170 282;146,3
155;Fort Collins;?olorado;170 243;144,5
156;Corona;?alifornia;169 868;102,3
157;Springfield;?issouri;167 882;213,2
158;Jackson;?ississippi;160 628;287,5
159;Alexandria;?irginia;159 428;38,8
160;Hayward;?alifornia;159 203;117,8
161;Clarksville;?ennessee;158 146;254,6
162;Lakewood;?olorado;157 935;111,1
163;Lancaster;?alifornia;157 601;244,2
164;Salinas;?alifornia;155 465;61,1
165;Palmdale;?alifornia;155 079;274,5
166;Hollywood;?lorida;154 817;70,7
167;Springfield;?assachusetts;153 606;82,6
168;Macon;?eorgia;153 159;645,7
169;Kansas City;?ansas;15 296;323,2
170;Sunnyvale;?alifornia;152 703;57,
171;Pomona;?alifornia;151 691;59,6
172;Killeen;?exas;151 666;138,6
173;Escondido;?alifornia;151 625;96,1
174;Pasadena;?exas;151 227;112,7
175;Naperville;?llinois;148 449;100,2
176;Bellevue;?ashington;148 164;86,8
177;Joliet;?llinois;147 344;166,8
178;Murfreesboro;?ennessee;1 469;144,8
179;Midland;?exas;146 038;192,7
180;Rockford;?llinois;145 609;164,5
181;Paterson;?ew Jersey;145 233;21,8
182;Savannah;?eorgia;144 464;268,3
183;Bridgeport;?onnecticut;144 399;41,7
184;Torrance;?alifornia;143 592;53,1
185;McAllen;?exas;143 268;151,3
186;Syracuse;?ew York;142 327;64,7
187;Surprise;?rizona;141 664;279,5
188;Denton;?exas;141 541;241,9
189;Roseville;?alifornia;1 415;111,4
190;Thornton;?olorado;141 464;92,5
191;Miramar;?lorida;141 191;76,1
192;Pasadena;?alifornia;141 029;59,6
193;Mesquite;?exas;140 937;122,2
194;Olathe;?ansas;140 545;157,7
195;Dayton;?hio;140 407;144,3
196;Carrollton;?exas;139 248;94,
197;Waco;?exas;139 236;230,5
198;Orange;?alifornia;138 669;65,8
199;Fullerton;?alifornia;138 632;58,
200;Charleston;?outh Carolina;137 566;282,3
201;West Valley City;?tah;135 248;91,9
202;Visalia;?alifornia;134 605;97,1
203;Hampton;?irginia;13 451;133,4
204;Gainesville;?lorida;133 997;161,4
205;Warren;?ichigan;133 943;89,1
206;Coral Springs;?lorida;133 759;61,6
207;Cedar Rapids;?owa;133 562;183,4
208;Round Rock;?exas;133 372;92,2
209;Sterling Heights;?ichigan;132 438;94,5
210;Kent;?ashington;132 319;87,3
211;Columbia;?outh Carolina;131 674;345,8
212;Santa Clara;?alifornia;130 365;47,7
213;New Haven;?onnecticut;13 025;48,4
214;Stamford;?onnecticut;129 638;97,4
215;Concord;?alifornia;129 295;79,
216;Elizabeth;?ew Jersey;129 216;31,9
217;Athens;?eorgia;126 913;301,5
218;Thousand Oaks;?alifornia;126 813;143,
219;Lafayette;?ouisiana;126 185;139,3
220;Simi Valley;?alifornia;125 613;107,5
